Total,Big Plates,Small Plates
161.5,` 22.6 20.0 15.9               ,5.0 2.2
161.6,` 22.6 20.0           11.3     ,5.0 4.5 1.25 1.1
161.8,` 22.6 20.0 15.9               ,5.0 1.25 1.1
161.9,` 22.6 20.0                10.0 10.0,2.2 1.1
161.9,` 22.6 20.0           11.3     ,5.0 4.5 1.25 1.25
161.9,` 22.6 20.0      15.0          ,5.0 2.2 1.1
162.1,` 22.6 20.0 15.9               ,5.0 1.25 1.25
162.2,` 22.6 20.0                10.0 10.0,2.2 1.25
162.2,` 22.6 20.0      15.0          ,5.0 2.2 1.25
162.3,` 22.6 20.0           11.3 10.0,2.2
162.5,` 22.6 20.0                10.0 10.0,1.25 1.25 1.1
162.5,` 22.6 20.0      15.0          ,5.0 1.25 1.25 1.1
162.6,` 22.6 20.0           11.3 10.0,1.25 1.1
162.7,` 22.6 20.0 15.9               ,4.5 2.2 1.1
162.9,` 22.6 20.0           11.3 10.0,1.25 1.25
163.0,` 22.6 20.0 15.9               ,4.5 2.2 1.25
163.3,` 22.6 20.0 15.9               ,4.5 1.25 1.25 1.1
163.4,` 22.6 20.0                10.0,5.0 4.5 2.2 1.25 1.1
163.4,` 22.6 20.0      15.0          ,4.5 2.2 1.25 1.1
163.5,` 22.6 20.0           11.3     ,5.0 4.5 2.2 1.1
163.7,` 22.6 20.0                10.0,5.0 4.5 2.2 1.25 1.25
163.7,` 22.6 20.0      15.0          ,4.5 2.2 1.25 1.25
163.7,` 22.6 20.0 15.9               ,5.0 2.2 1.1
163.8,` 22.6 20.0           11.3     ,5.0 4.5 2.2 1.25
164.0,` 22.6 20.0 15.9               ,5.0 2.2 1.25
164.1,` 22.6 20.0           11.3     ,5.0 4.5 1.25 1.25 1.1
164.3,` 22.6 20.0                10.0 10.0,4.5
164.3,` 22.6 20.0      15.0          ,5.0 4.5
164.3,` 22.6 20.0 15.9               ,5.0 1.25 1.25 1.1
164.4,` 22.6 20.0                10.0 10.0,2.2 1.25 1.1
164.4,` 22.6 20.0      15.0          ,5.0 2.2 1.25 1.1
164.5,` 22.6 20.0           11.3 10.0,2.2 1.1
164.7,` 22.6 20.0                10.0 10.0,2.2 1.25 1.25
164.7,` 22.6 20.0      15.0          ,5.0 2.2 1.25 1.25
164.8,` 22.6 20.0           11.3 10.0,2.2 1.25
165.1,` 22.6 20.0           11.3 10.0,1.25 1.25 1.1
165.2,` 22.6 20.0 15.9               ,4.5 2.2 1.25 1.1
165.3,` 22.6 20.0      15.0      10.0,
165.5,` 22.6 20.0 15.9               ,4.5 2.2 1.25 1.25
165.9,` 22.6 20.0                10.0,5.0 4.5 2.2 1.25 1.25 1.1
165.9,` 22.6 20.0      15.0          ,4.5 2.2 1.25 1.25 1.1
166.0,` 22.6 20.0           11.3     ,5.0 4.5 2.2 1.25 1.1
166.1,` 22.6 20.0 15.9               ,5.0 4.5
166.2,` 22.6 20.0 15.9               ,5.0 2.2 1.25 1.1
166.3,` 22.6 20.0           11.3     ,5.0 4.5 2.2 1.25 1.25
166.5,` 22.6 20.0                10.0 10.0,4.5 1.1
166.5,` 22.6 20.0      15.0          ,5.0 4.5 1.1
166.5,` 22.6 20.0 15.9               ,5.0 2.2 1.25 1.25
166.8,` 22.6 20.0                10.0 10.0,4.5 1.25
166.8,` 22.6 20.0      15.0          ,5.0 4.5 1.25
166.9,` 22.6 20.0                10.0 10.0,2.2 1.25 1.25 1.1
166.9,` 22.6 20.0           11.3 10.0,4.5
166.9,` 22.6 20.0      15.0          ,5.0 2.2 1.25 1.25 1.1
167.0,` 22.6 20.0           11.3 10.0,2.2 1.25 1.1
167.1,` 22.6 20.0 15.9           10.0,
167.3,` 22.6 20.0           11.3 10.0,2.2 1.25 1.25
167.5,` 22.6 20.0      15.0      10.0,1.1
167.7,` 22.6 20.0 15.9               ,4.5 2.2 1.25 1.25 1.1
167.8,` 22.6 20.0      15.0      10.0,1.25
167.9,` 22.6 20.0           11.3 10.0,5.0
167.9,` 22.6 20.0      15.0 11.3     ,
168.3,` 22.6 20.0 15.9               ,5.0 4.5 1.1
168.5,` 22.6 20.0           11.3     ,5.0 4.5 2.2 1.25 1.25 1.1
168.6,` 22.6 20.0 15.9               ,5.0 4.5 1.25
168.7,` 22.6 20.0                10.0 10.0,4.5 2.2
168.7,` 22.6 20.0      15.0          ,5.0 4.5 2.2
168.7,` 22.6 20.0 15.9               ,5.0 2.2 1.25 1.25 1.1
169.0,` 22.6 20.0                10.0 10.0,4.5 1.25 1.1
169.0,` 22.6 20.0      15.0          ,5.0 4.5 1.25 1.1
169.1,` 22.6 20.0           11.3 10.0,4.5 1.1
169.3,` 22.6 20.0                10.0 10.0,4.5 1.25 1.25
169.3,` 22.6 20.0      15.0          ,5.0 4.5 1.25 1.25
169.3,` 22.6 20.0 15.9           10.0,1.1
169.4,` 22.6 20.0           11.3 10.0,4.5 1.25
169.5,` 22.6 20.0           11.3 10.0,2.2 1.25 1.25 1.1
169.6,` 22.6 20.0 15.9           10.0,1.25
169.7,` 22.6 20.0      15.0      10.0,2.2
169.7,` 22.6 20.0 15.9      11.3     ,
170.0,` 22.6 20.0      15.0      10.0,1.25 1.1
170.1,` 22.6 20.0           11.3 10.0,5.0 1.1
170.1,` 22.6 20.0      15.0 11.3     ,1.1
170.3,` 22.6 20.0      15.0      10.0,1.25 1.25
170.4,` 22.6 20.0           11.3 10.0,5.0 1.25
170.4,` 22.6 20.0      15.0 11.3     ,1.25
